프로그램ID,프로그램세부ID,프로그램명,프로그램주제,주관부서(상위),주관부서(하위),시작일,종료일,프로그램 소개,프로그램 태그,프로그램 구분,프로그램유형1,프로그램유형2,교육방법,프로그램 시간,마일리지,참여자수,이수자수,핵심역량점수1,핵심역량점수2,핵심역량점수3,핵심역량점수4,핵심역량점수5,핵심역량점수6,핵심역량점수7,핵심역량점수8
5335,0,2024년 아시아여성연구원 학술대회: 기후변화와 젠더-도전과 대응,2024년 아시아여성연구원 학술대회: 기후변화와 젠더-도전과 대응,부설연구기관,아시아여성연구원,24-12-13 오후 1:00,24-12-13 오후 5:00,"세계보건기구를 비롯하여 유엔과 같은 다양한 국제기구에서는 기후변화에 대한 인간의 생존의 위협, 더 나아가 기후변화에 대한 영향력에서 젠더불평등이 나타난다는 점에 문제의식을 가지고 논의를 진행하고 있다. 본 학술대회는 최근 우리사회 더 나아가 전 세계적으로 기후변화를 직접적으로 체감하고 있는 상황에서 이에 대한 논의의 장을 열고, 더 나아가 다양한 대응 방안을 고민하고 논의해 보고자 한다.","기후변화,기후정의,아시아여성연구원,젠더,젠더불평등,젠더주류화,학술대회",비교과 (비학점),학습,워크숍/특강,대면,4,2000,5,5,,1,,1,1,,,1
4654,4012,[디지털휴머니티센터 x 대웅제약] 웰다 혈당다이어트 4주 프로그램,[3월] 웰체크 다이어트,총장직속기구,디지털휴머니티센터,24-3-11 오후 5:00,24-4-7 오후 5:00,어렵지 않고 오랜 기간 유지 가능한 혈당 다이어트의 과학적인 원리와 방법을 이해하고 실제 삶에 적용하여 건강한 삶을 영위한다.,"건강,건강관리전문가,다이어트,대웅제약,장학금,제약회사,취업,취업연계,학생코치,혈당관리",비교과 (비학점),심리,특강/워크숍/행사,비대면(실시간+녹화),5,0,123,61,2.5,,,2.5,,,,
4872,0,2024-1학기 미래직진 포트폴리오 경진대회,2024-1학기 미래직진 포트폴리오 경진대회,순헌칼리지,순헌칼리지,24-4-22 오전 10:00,24-6-2 오후 11:59,"슬기롭고 충실한 대학생활을 위한 나만의 진로설계 수립
-대학 입학 후 성취하고 싶은 분야의 탐색 또는 나만의 특별한 진로를 선택하여 진출하기 위해 대학생활자원(교과, 비교과, 대외활동 등)을 활용한 포트폴리오 작성","경진대회,공모,공모전,교양연계,기초교양대학,대학생활,대학생활설계서,미래직진,미래직진포트폴리오,진로설계,진로탐색,진로탐색과역량개발,진탐,포트폴리오",교양교과연계 비교과 (학점불인정),학습,교양연계,"해당없음(공모전, 콘테스트 등)",2,2000,84,84,0.8,0.7,0.5,,,,,
5019,0,[재맞고] 2024년 주한미대사관 외교관 방문 특강,[재맞고] 2024년 주한미대사관 외교관 방문 특강,대학일자리플러스센터,대학일자리플러스센터,24-5-29 오후 2:00,24-5-29 오후 3:00,주한미대사관 외교관님께서 지금까지 외교관으로 근무하며 배운 문화간 커뮤니케이션의 중요성에 대한 강연과 함께 현재 대사관 인턴으로 근무 중인 본교 재학생의 대사관 인턴 역할과 지원팁에 대한 특강,"글로벌역량강화,대사관인턴,대학일자리플러스센터,실무자특강,외교관,주한미대사,지원팁,특강,현직자특강",비교과 (비학점),취업,특강/워크숍/캠프,대면,1,1000,55,51,0.5,,,,,,0.5,
4926,4296,[재맞고] [선배와의간담회] 2024년 상반기 선배와의 간담회(5월),5/29(수) 19:00~20:30 세인관세법인(세무사) 성단샘 동문(경제학부14),대학일자리플러스센터,대학일자리플러스센터,24-5-29 오후 7:00,24-5-29 오후 8:30,"동문선배에게 듣는 취업준비 경험과 현 직무에 대한 정보 공유 

*운영방법: 5/2(목) , 5/14(화),  5/20(목), 5/27(월), 5/29(수) 대면 (장소 : 진리관 106호 )
* 비대면 zoom으로 진행되는 간담회는 당일  ZOOM 주소 문자 안내","KT,LGCNS,경험,기획팀,네이버,선배꿀팁,선배와의간담회,선배특강,세무사,우리은행,인사팀,존슨앤존슨,직무,초록우산어린이재단,취업,취업준비,카카오뱅크,현대모비스",비교과 (비학점),취업,특강/워크숍/캠프,대면 비대면 병행(실시간),1,1000,73,39,0.5,0.5,,,,,,
4925,4069,[재맞고] [전학년 진로 미결정자 대상] 숙명 커리어 클라쓰(SookMyung Career Class),[4단계] 스펙부자가 되기 위한 대학생활플랜 세우기,대학일자리플러스센터,대학일자리플러스센터,24-5-30 오후 3:00,24-5-30 오후 5:00,"진로탐색 및 설계를 위한 진로 종합 프로그램으로, 자기이해 -> 직업세계이해 -> 스펙 달성 계획 수립을 통한 진로결정 역량 강화를 목적으로 함","MBTI,STRONG흥미검사,대학생활,성격,성격분석,스펙,자기이해,직무탐색,직무탐색실습,직업분석,진로,진로결정,진로고민,진로탐색,채용트렌드,커리어,커리어플래닝,플래닝실습",비교과 (비학점),진로,특강/워크숍/캠프,대면,2,2000,45,31,,1,,1,,,,
5015,2482,[재맞고] 2024 상반기 영문이력서 작성법 및 영어 면접 전략 특강,영어면접 전략,대학일자리플러스센터,대학일자리플러스센터,24-5-30 오후 3:00,24-5-30 오후 5:00,영문이력서/커버레터 작성법과 영어 면접 대비 전략 특강,"글로벌역량강화,대학일자리플러스센터,면접전략,비대면,실시간,영문이력서,영어면접,이력서,작성법,커버레터,특강",비교과 (비학점),취업,특강/워크숍/캠프,비대면(실시간),2,2000,97,51,2,,,,,,,
4951,4331,[일본학과] 2024 일본학과 진로설계 특강 시리즈,[진로취업특강 6] `한국의 일본 기업 취업하기`,문과대학,일본학과,24-5-30 오후 4:00,24-5-30 오후 6:00,일본학과 동문 졸업생들을 초대하여 진로 취업에 관한 다양하고 유익한 정보를 들을 수 있는 특강입니다.,"복수학위제,비즈니스,실무자특강,연구자,일본기업,일본어,일본학과,자격증,전공별진로취업,진로,취업,특강,학습법",비교과 (비학점),취업,전공별진로취업,대면 비대면 병행(실시간),2,2000,59,13,0.8,,,,,0.4,0.8,
4941,4349,[2024 실무자 초청 특강 시리즈] 홍보광고업계 트렌드 및 취업전략,[05/30] PR업계의 변화와 뉴트렌드 (한윤진 프레인 이사),사회과학대학,홍보광고학과,24-5-30 오후 4:30,24-5-30 오후 6:00,"급격하게 변화하는 환경 속에서 홍보광고 현업에서는 어떤 변화가 일어나고 있는지 실무자들의 생생한 강의를 통해 이해하고, 홍보광고분야의 진로 설계 및 취업 준비를 위한 조언도 듣는다. 본 특강 시리즈는 직무문야별-광고기획/PR기획/크리에이티브/디지털미디어-로 총 4회에 걸쳐 진행될 것이며(회차별 90분 특강), 4회의 특강에 모두 참여한 수강생은 이수증과 더불어 홍보광고학과가 마련한 전공도서 1권씩을 선물로 받을 수 있다. (일부 특강에만 참석할 경우에도 신청이 가능하며, 마일리지는 회차별로 부여 예정임)","LINC3.0,PR,나스미디어,뉴트렌드,대홍기획,디지털마케팅,산학연계비교과,실무자초청,실무자특강,제일기획,취업,프레인,홍보광고학과",비교과 (비학점),학습,산학연계비교과,대면,2,1000,65,26,,,0.8,1.2,,,,
4980,0,[사회심리학과] 2024 진로취업 비교과 프로그램 - 게임기획자의 심리학 : 카트라이더 기획자는 무슨 생각을 할까요?,[사회심리학과] 2024 진로취업 비교과 프로그램 - 게임기획자의 심리학 : 카트라이더 기획자는 무슨 생각을 할까요?,사회과학대학,사회심리학과,24-5-30 오후 4:30,24-5-30 오후 6:30,"게임을 개발할 때 기획에서 활용되는 인지, 사회 심리학에 대해 알아보며 게임기획자 진로 및 필요한 역량을 소개한다.","게임기획자,사회심리학과,인지심리,진로취업비교과프로그램",비교과 (비학점),취업,특강/워크숍/캠프,대면,2,2000,44,44,1.2,,,,,0.8,,
